run_name,num_parameters
run_0,8966378
run_1,16696136
run_10,12243494
run_11,5843518
run_14,2926838
run_15,2973485
run_17,7911890
run_18,6142253
run_19,6158393
run_2,11178212
run_20,12333202
run_22,25516062
run_23,20579312
run_24,28394676
run_25,13716214
run_27,5278334
run_29,6908437
run_3,3219064
run_31,1917216
run_32,11510850
run_34,28655186
run_35,19050382
run_36,6780498
run_37,4483918
run_38,517136
run_39,5795563
run_4,5860234
run_40,6051248
run_41,8712182
run_42,2972334
run_43,8359366
run_45,3428210
run_46,31492634
run_48,46680722
run_49,29429499
run_5,1274278
run_8,32361950
run_9,24933938
