SR-p53,mol_id,smiles
0,TOX7137,CCCCCCCC/C=C\CCCCCCCC(N)=O
0,TOX5403,CCCCCCOC(=O)c1ccccc1
0,TOX17626,O=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
0,TOX20718,COc1cc(Cl)c(OC)cc1N
0,TOX26989,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O
0,TOX25167,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
0,TOX17072,CCCC(CCC)C(=O)[O-]
0,TOX7565,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O
0,TOX27156,CCC(C)C1N=C(C)C(C)S1
0,TOX7329,C=CCCCCCCCC
0,TOX28888,O=P([O-])([O-])OC(CO)CO
0,TOX2043,O=C(O)c1cccc(C(=O)O)n1
1,TOX28130,O=[N+]([O-])C=Cc1ccccc1
1,TOX12398,N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2
0,TOX26738,O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21
0,TOX27611,CCCC1CCC(=O)O1
0,TOX29367,c1ccc2cnncc2c1
0,TOX4781,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl
1,TOX28505,C/C=C1\NC(=O)[C@H]2CSSCCC=C[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O
0,TOX448,CC(Cl)CCl
0,TOX21270,CC(=O)OCCC(C)CC(C)(C)C
0,TOX27420,COc1cc(CCC(C)=O)ccc1O
0,TOX26226,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
1,TOX319,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
0,TOX29386,O=C(CBr)c1ccccc1
1,TOX26778,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
0,TOX3310,CC(=O)Nc1c(I)c(C(=O)N[C@H]2C(O)O[C@H](CO)[C@@H](O)[C@@H]2O)c(I)c(N(C)C(C)=O)c1I
0,TOX760,O=P1(NCCCl)OCCCN1CCCl
0,TOX28967,CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1
0,TOX3027,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
0,TOX6031,CCCCCCCCCCCCOS(=O)(=O)[O-]
0,TOX25359,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1
0,TOX4035,O=C(O)CCCOc1ccc(Cl)cc1Cl
0,TOX27870,O=C(c1ccccc1)c1cc(Cl)ccc1O
0,TOX7321,O=S(=O)([O-])c1ccc(O)cc1
0,TOX4038,OCC(Cl)CCl
1,TOX20625,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=O)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)/C(=C\C)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O
0,TOX25601,CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1
0,TOX27672,Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(=O)NC(C)(C)CS(C)(=O)=O
0,TOX27872,Cc1ccc(C=C2C(=O)C3CCC2C3(C)C)cc1
0,TOX3293,CN1C(=O)CC(C)(c2ccccc2)C1=O
0,TOX281,O=[N+]([O-])c1ccc(Cl)cc1
0,TOX21550,CC(C)=CCC[C@H](C)CCO
0,TOX22612,CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl
0,TOX2762,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21
0,TOX27674,CC1=C(O)C(=O)OC1C
0,TOX27406,C=CCc1ccc(OC(=O)Cc2ccccc2)c(OC)c1
1,TOX20268,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)OC(C)C
0,TOX161,c1ccc(-c2ccccc2)cc1
0,TOX24997,CN(C)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
0,TOX7955,C=CC(=O)OCCCCCC(C)C
1,TOX24728,O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
0,TOX3735,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@@H](C(=O)O)C(C)C
0,TOX91,Nc1ccccc1
0,TOX27177,Cc1ccc(-c2ccccc2)cc1
0,TOX13754,C=CC(=O)NC(C)C
0,TOX3125,NCCc1cnc[nH]1
0,TOX29359,O=C1c2ccccc2CCc2ccccc21
0,TOX4337,CCN(CC)C(=O)SCc1ccc(Cl)cc1
1,TOX26752,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1
0,TOX26695,CNC1CCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1
0,TOX26263,Cc1cc(O)cc2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2
0,TOX365,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
0,TOX1231,Cc1cc(C)c(/N=N/c2c(O)c(S(=O)(=O)[O-])cc3cc(S(=O)(=O)[O-])ccc23)cc1C
0,TOX26730,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(C)c(CC(=O)[O-])s3)CS[C@H]12)c1csc(N)n1
0,TOX27157,CCCC(=O)C(CC)Sc1ccoc1C
0,TOX20289,O=C(O)c1cccc(Cl)n1
0,TOX28584,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccccc1
0,TOX24613,N#CC1(N=NC2(C#N)CCCCC2)CCCCC1
1,TOX5436,Oc1cccc2cccnc12.Oc1cccc2cccnc12
0,TOX28948,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N
1,TOX26749,CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C
0,TOX7098,O=C(O)CNCC(=O)O
0,TOX4012,Brc1ccc(Br)cc1
0,TOX24280,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
0,TOX4687,CC(C)(C)c1ccc(O)c(O)c1
0,TOX26419,CCC(=O)Nc1ccc(O)cc1
0,TOX4787,Cc1nc2ccc(Cl)cc2[nH]1
0,TOX135,c1ccccc1
0,TOX443,CCCCOC(=O)COc1ccc(Cl)cc1Cl
0,TOX22613,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
0,TOX26904,CCN(CC)CCO[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1
0,TOX90,Nc1ccccc1
0,TOX25598,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
1,TOX3340,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
0,TOX671,CCN(Cc1cccc(S(=O)(=O)[O-])c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)[O-])c3)C=C2)c2ccccc2)cc1
0,TOX25757,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
0,TOX24854,C=COCCCCO
0,TOX26267,CN1C(=S)CN=C(c2ccccc2)c2cc(Cl)ccc21
0,TOX26262,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1
0,TOX12379,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C
0,TOX7494,Cc1cccc(N)c1N
1,TOX3652,Nc1nc2nc[nH]c2c(=S)[nH]1
0,TOX5743,O=[N+]([O-])c1cccc(CCl)c1
0,TOX2612,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C
0,TOX402,Cc1ccc(N)cc1N
0,TOX27404,CN(C)CCN(Cc1cccs1)c1ccccn1.CN(C)CCN(Cc1cccs1)c1ccccn1
1,TOX5757,CN(CCCl)CCCl
